product_id,sku,product_name,category,sub_category,brand,launch_date,cost_price,mrp
55,SKU-100055,Verde Board Game Lite 541,Toys,Board Game,Verde,2024-03-10,4764.46,8747.92
56,SKU-100056,Neptune Dress Plus 114,Clothing,Dress,Neptune,2022-11-12,4423.65,9313.3
57,SKU-100057,Axton Snacks Pro 244,Grocery,Snacks,Axton,2025-01-17,1389.57,2659.69
58,SKU-100058,Halcyon Charger Pro 125,Electronics,Charger,Halcyon,2023-04-12,1011.11,2453.84
59,SKU-100059,Neptune Fiction Model 245,Books,Fiction,Neptune,2023-03-24,2398.45,2818.6
60,SKU-100060,Primex Soap Plus 655,Beauty,Soap,Primex,2022-10-30,86.3,107.77
61,SKU-100061,Zephyr Children Lite 469,Books,Children,Zephyr,2025-02-03,177.76,238.76
62,SKU-100062,Halcyon Blocks Model 114,Toys,Blocks,Halcyon,2023-08-22,2788.79,5762.31
63,SKU-100063,Neptune Soap Plus 612,Beauty,Soap,Neptune,2024-07-31,2626.22,5262.51
64,SKU-100064,Primex Headphones Lite 17,Electronics,Headphones,Primex,2022-08-04,4973.18,11681.41
65,SKU-100065,Neptune Toy Car Lite 589,Toys,Toy Car,Neptune,2025-08-01,1049.12,2230.46
66,SKU-100066,Zephyr Cooker Series 736,Home & Kitchen,Cooker,Zephyr,2023-03-18,1327.61,2405.23
67,SKU-100067,Primex Socks Series 299,Clothing,Socks,Primex,2023-11-22,612.03,1523.08
68,SKU-100068,Summit Phone Plus 2,Electronics,Phone,Summit,2024-10-07,4591.84,6761.72
69,SKU-100069,Axton T-Shirt Lite 362,Clothing,T-Shirt,Axton,2022-05-30,3900.17,8839.61
70,SKU-100070,Orion Racket Series 585,Sports,Racket,Orion,2023-01-23,4120.58,6994.71
71,SKU-100071,Verde Cooker Plus 192,Home & Kitchen,Cooker,Verde,2022-08-04,4518.68,9074.55
72,SKU-100072,Cresta Knife Set Model 537,Home & Kitchen,Knife Set,Cresta,2023-12-20,2648.25,5609.46
73,SKU-100073,Verde Phone Pro 70,Electronics,Phone,Verde,2022-05-23,2283.41,4537.72
74,SKU-100074,Halcyon Cooker Lite 558,Home & Kitchen,Cooker,Halcyon,2025-03-23,1685.44,2185.53
75,SKU-100075,Verde Skincare Lite 806,Beauty,Skincare,Verde,2023-07-18,2966.61,5102.96
76,SKU-100076,Primex Vacuum Lite 568,Home & Kitchen,Vacuum,Primex,2024-12-01,2298.68,4335.34
77,SKU-100077,Summit Jacket Model 400,Clothing,Jacket,Summit,2022-11-09,2285.25,5230.16
78,SKU-100078,Orion Sneakers Plus 45,Clothing,Sneakers,Orion,2022-10-15,4687.79,8068.17
79,SKU-100079,Axton Blocks Plus 383,Toys,Blocks,Axton,2024-10-10,4920.96,11742.62
80,SKU-100080,Axton Jacket Pro 766,Clothing,Jacket,Axton,2023-02-04,3992.6,6853.39
81,SKU-100081,Zephyr Doll Model 366,Toys,Doll,Zephyr,2022-06-16,3795.95,7091.94
82,SKU-100082,Cresta Jacket Model 354,Clothing,Jacket,Cresta,2024-03-10,3418.76,7571.87
83,SKU-100083,Neptune Makeup Series 751,Beauty,Makeup,Neptune,2024-05-01,872.07,1671.14
84,SKU-100084,Summit Beverage Model 791,Grocery,Beverage,Summit,2023-06-02,342.57,837.35
85,SKU-100085,Neptune Blocks Lite 753,Toys,Blocks,Neptune,2022-09-08,3469.1,7023.09
86,SKU-100086,Orion Children Pro 137,Books,Children,Orion,2024-09-10,3657.49,6699.77
87,SKU-100087,Verde Racket Model 361,Sports,Racket,Verde,2025-01-09,282.52,320.1
88,SKU-100088,Axton Smartwatch Lite 347,Electronics,Smartwatch,Axton,2025-01-17,4643.86,7798.09
89,SKU-100089,Orion Socks Series 851,Clothing,Socks,Orion,2025-07-14,501.15,761.22
90,SKU-100090,Verde Blender Plus 713,Home & Kitchen,Blender,Verde,2025-05-06,1465.21,3146.32
91,SKU-100091,Axton Oil Plus 647,Grocery,Oil,Axton,2025-07-09,3378.33,4701.25
92,SKU-100092,Verde Socks Series 831,Clothing,Socks,Verde,2024-02-14,890.87,1235.91
93,SKU-100093,Cresta Cooker Series 65,Home & Kitchen,Cooker,Cresta,2022-09-29,324.31,442.79
94,SKU-100094,Summit Water Bottle Plus 38,Sports,Water Bottle,Summit,2025-07-10,1689.18,2155.16
95,SKU-100095,Halcyon Racket Pro 207,Sports,Racket,Halcyon,2024-02-21,3841.56,5898.37
96,SKU-100096,Orion Dumbbell Model 811,Sports,Dumbbell,Orion,2022-08-02,2097.71,4909.25
97,SKU-100097,Orion Cooker Series 908,Home & Kitchen,Cooker,Orion,2023-04-17,3282.22,7171.32
98,SKU-100098,Luminate Sneakers Model 324,Clothing,Sneakers,Luminate,2024-07-30,2919.11,6215.81
99,SKU-100099,Primex Bike Helmet Pro 528,Sports,Bike Helmet,Primex,2022-06-27,159.98,354.56
100,SKU-100100,Cresta Makeup Plus 835,Beauty,Makeup,Cresta,2023-10-27,4943.27,7302.12
101,SKU-100101,Cresta Blocks Lite 485,Toys,Blocks,Cresta,2024-08-10,255.07,597.48
102,SKU-100102,Neptune Bedding Pro 38,Home & Kitchen,Bedding,Neptune,2025-05-13,4840.62,6255.17
103,SKU-100103,Verde Lamp Series 293,Home & Kitchen,Lamp,Verde,2023-12-27,2771.83,4354.22
104,SKU-100104,Primex Jeans Pro 883,Clothing,Jeans,Primex,2025-08-15,4817.64,9256.84
105,SKU-100105,Summit Bedding Model 887,Home & Kitchen,Bedding,Summit,2023-04-01,618.03,768.87
106,SKU-100106,Summit Knife Set Pro 280,Home & Kitchen,Knife Set,Summit,2024-03-09,2477.52,5257.75
107,SKU-100107,Cresta Yoga Mat Model 819,Sports,Yoga Mat,Cresta,2025-03-14,889.05,1459.95
108,SKU-100108,Summit Jeans Pro 448,Clothing,Jeans,Summit,2024-07-19,302.33,664.57
109,SKU-100109,Luminate Yoga Mat Plus 762,Sports,Yoga Mat,Luminate,2023-08-23,3106.77,5561.29
110,SKU-100110,Orion Action Figure Plus 917,Toys,Action Figure,Orion,2023-04-27,1078.53,1459.49
111,SKU-100111,Zephyr Spices Plus 348,Grocery,Spices,Zephyr,2025-01-14,2959.1,6298.94
112,SKU-100112,Halcyon Action Figure Series 509,Toys,Action Figure,Halcyon,2025-05-05,606.2,880.81
113,SKU-100113,Neptune Snacks Plus 377,Grocery,Snacks,Neptune,2022-06-09,1693.33,3026.21
114,SKU-100114,Verde Dumbbell Lite 274,Sports,Dumbbell,Verde,2023-07-10,3919.08,4725.42
115,SKU-100115,Halcyon Toy Car Model 745,Toys,Toy Car,Halcyon,2024-05-24,2213.41,4349.38
116,SKU-100116,Verde Socks Plus 81,Clothing,Socks,Verde,2025-05-20,3157.34,6416.35
117,SKU-100117,Axton Headphones Plus 617,Electronics,Headphones,Axton,2023-10-04,3254.92,5305.99
118,SKU-100118,Halcyon Dumbbell Series 559,Sports,Dumbbell,Halcyon,2025-03-10,4226.59,10296.78
119,SKU-100119,Zephyr Sauce Pro 329,Grocery,Sauce,Zephyr,2023-08-18,1658.37,3853.78
120,SKU-100120,Cresta Haircare Model 82,Beauty,Haircare,Cresta,2022-07-01,3452.11,7218.77
121,SKU-100121,Luminate Spices Pro 677,Grocery,Spices,Luminate,2023-11-06,4810.0,10096.73
122,SKU-100122,Orion Sunscreen Pro 314,Beauty,Sunscreen,Orion,2025-07-30,3664.7,5326.14
123,SKU-100123,Orion Vacuum Plus 618,Home & Kitchen,Vacuum,Orion,2025-07-08,2474.86,4998.08
124,SKU-100124,Luminate Doll Plus 171,Toys,Doll,Luminate,2024-03-31,3172.05,4369.46
125,SKU-100125,Primex Makeup Plus 360,Beauty,Makeup,Primex,2023-08-07,3711.43,4830.81
126,SKU-100126,Axton Beverage Plus 44,Grocery,Beverage,Axton,2025-08-20,3080.77,7699.63
127,SKU-100127,Verde Cooker Pro 630,Home & Kitchen,Cooker,Verde,2023-09-12,132.55,261.3
128,SKU-100128,Zephyr Smartwatch Plus 282,Electronics,Smartwatch,Zephyr,2024-02-24,1014.13,1727.45
129,SKU-100129,Summit Dress Model 77,Clothing,Dress,Summit,2024-08-24,4061.82,6106.66
130,SKU-100130,Halcyon Dress Plus 373,Clothing,Dress,Halcyon,2024-05-05,1399.62,2722.94
131,SKU-100131,Axton Jacket Lite 821,Clothing,Jacket,Axton,2023-01-02,3671.23,4293.25
132,SKU-100132,Halcyon Sunscreen Series 976,Beauty,Sunscreen,Halcyon,2023-12-18,1892.0,2331.99
133,SKU-100133,Zephyr Camera Model 147,Electronics,Camera,Zephyr,2024-10-29,2633.33,3017.79
134,SKU-100134,Neptune Haircare Lite 695,Beauty,Haircare,Neptune,2024-06-01,386.47,695.2
135,SKU-100135,Neptune Toy Car Plus 36,Toys,Toy Car,Neptune,2025-03-25,947.07,1838.12
136,SKU-100136,Axton Haircare Series 69,Beauty,Haircare,Axton,2024-10-05,4788.12,5685.76
137,SKU-100137,Cresta Headphones Series 798,Electronics,Headphones,Cresta,2023-07-18,4456.18,9401.27
138,SKU-100138,Zephyr Laptop Pro 371,Electronics,Laptop,Zephyr,2025-01-19,3278.76,4664.21
139,SKU-100139,Zephyr Doll Plus 973,Toys,Doll,Zephyr,2022-12-23,2325.24,4788.32
140,SKU-100140,Luminate Camera Lite 34,Electronics,Camera,Luminate,2023-09-03,3395.02,8401.51
141,SKU-100141,Cresta Spices Lite 158,Grocery,Spices,Cresta,2022-09-28,3112.12,6434.46
142,SKU-100142,Verde Phone Plus 972,Electronics,Phone,Verde,2022-09-14,2864.33,6692.42
143,SKU-100143,Verde T-Shirt Pro 381,Clothing,T-Shirt,Verde,2023-11-27,342.93,832.45
144,SKU-100144,Summit Snacks Plus 782,Grocery,Snacks,Summit,2023-12-25,3182.37,5669.24
145,SKU-100145,Orion Beverage Model 588,Grocery,Beverage,Orion,2025-02-18,3856.15,8033.34
146,SKU-100146,Neptune Blocks Series 543,Toys,Blocks,Neptune,2024-04-30,4970.7,11396.61
147,SKU-100147,Verde Non-Fiction Pro 408,Books,Non-Fiction,Verde,2025-03-28,104.84,167.67
148,SKU-100148,Cresta Comics Pro 666,Books,Comics,Cresta,2023-12-31,3664.36,5371.79
149,SKU-100149,Zephyr Charger Pro 256,Electronics,Charger,Zephyr,2024-07-16,2880.36,6985.56
150,SKU-100150,Verde Oil Model 27,Grocery,Oil,Verde,2022-08-25,2198.56,4653.97
151,SKU-100151,Zephyr Fiction Series 512,Books,Fiction,Zephyr,2022-07-11,681.47,959.21
152,SKU-100152,Verde Self-Help Lite 397,Books,Self-Help,Verde,2024-05-18,2074.97,3587.04
153,SKU-100153,Neptune Charger Lite 121,Electronics,Charger,Neptune,2024-04-03,1804.17,3996.3
154,SKU-100154,Halcyon Academic Pro 794,Books,Academic,Halcyon,2022-07-31,1549.01,2890.28
155,SKU-100155,Verde Haircare Pro 721,Beauty,Haircare,Verde,2024-08-04,3667.85,7372.13
156,SKU-100156,Cresta Lamp Plus 220,Home & Kitchen,Lamp,Cresta,2023-12-10,3518.59,7583.53
157,SKU-100157,Verde Action Figure Lite 293,Toys,Action Figure,Verde,2024-01-02,2965.65,5844.74
158,SKU-100158,Orion Lamp Plus 205,Home & Kitchen,Lamp,Orion,2022-12-26,4696.39,8717.02
159,SKU-100159,Neptune Phone Model 139,Electronics,Phone,Neptune,2024-06-24,1781.78,3829.86
160,SKU-100160,Cresta Socks Model 463,Clothing,Socks,Cresta,2022-06-22,1256.82,2662.68
161,SKU-100161,Luminate Blocks Series 921,Toys,Blocks,Luminate,2024-03-10,3296.72,6533.51
162,SKU-100162,Cresta Phone Plus 90,Electronics,Phone,Cresta,2024-11-27,1034.13,1658.44
163,SKU-100163,Orion Sauce Pro 684,Grocery,Sauce,Orion,2025-01-11,1609.3,2684.53
164,SKU-100164,Halcyon Dress Pro 727,Clothing,Dress,Halcyon,2022-08-14,1161.78,2856.37
165,SKU-100165,Neptune Knife Set Model 564,Home & Kitchen,Knife Set,Neptune,2024-09-04,392.31,493.27
166,SKU-100166,Luminate Smartwatch Lite 298,Electronics,Smartwatch,Luminate,2025-08-06,4146.12,6119.29
167,SKU-100167,Orion Instant Noodles Pro 872,Grocery,Instant Noodles,Orion,2022-10-18,1309.98,2344.03
168,SKU-100168,Orion Puzzle Series 729,Toys,Puzzle,Orion,2024-04-12,2391.49,5432.08
169,SKU-100169,Axton Action Figure Series 813,Toys,Action Figure,Axton,2024-12-08,264.41,351.44
170,SKU-100170,Neptune Bike Helmet Pro 521,Sports,Bike Helmet,Neptune,2024-05-28,3511.73,5224.53
171,SKU-100171,Cresta Beverage Series 125,Grocery,Beverage,Cresta,2024-06-02,1686.28,2010.24
172,SKU-100172,Zephyr Haircare Series 812,Beauty,Haircare,Zephyr,2022-09-05,3736.45,7803.13
173,SKU-100173,Halcyon Fiction Series 243,Books,Fiction,Halcyon,2022-11-29,2091.4,2998.01
174,SKU-100174,Zephyr Socks Plus 27,Clothing,Socks,Zephyr,2023-04-22,1018.99,1675.37
175,SKU-100175,Cresta Sauce Pro 568,Grocery,Sauce,Cresta,2024-04-28,2590.22,4458.24
176,SKU-100176,Cresta Sneakers Lite 378,Sports,Sneakers,Cresta,2022-09-24,696.0,1634.1
177,SKU-100177,Neptune Academic Plus 823,Books,Academic,Neptune,2024-02-15,2230.67,3738.3
178,SKU-100178,Cresta Non-Fiction Lite 133,Books,Non-Fiction,Cresta,2022-08-02,1620.66,2112.23
179,SKU-100179,Axton Camera Lite 906,Electronics,Camera,Axton,2025-01-28,4564.2,8370.93
180,SKU-100180,Luminate Fiction Model 68,Books,Fiction,Luminate,2024-02-20,351.6,860.77
181,SKU-100181,Cresta Sunscreen Pro 408,Beauty,Sunscreen,Cresta,2025-03-26,3485.39,6799.16
182,SKU-100182,Zephyr Action Figure Plus 539,Toys,Action Figure,Zephyr,2024-04-30,954.62,2364.35
183,SKU-100183,Cresta Racket Plus 788,Sports,Racket,Cresta,2023-10-16,1629.27,3710.74
184,SKU-100184,Axton Academic Plus 844,Books,Academic,Axton,2023-06-30,2106.79,2423.55
185,SKU-100185,Verde Camera Lite 76,Electronics,Camera,Verde,2025-08-27,4544.67,9188.23
186,SKU-100186,Verde Perfume Series 996,Beauty,Perfume,Verde,2024-09-05,1250.76,1877.98
187,SKU-100187,Orion Cooker Pro 658,Home & Kitchen,Cooker,Orion,2024-05-30,501.98,945.46
188,SKU-100188,Halcyon Action Figure Model 461,Toys,Action Figure,Halcyon,2024-12-27,1627.51,2426.75
189,SKU-100189,Summit Doll Plus 697,Toys,Doll,Summit,2023-01-29,568.15,902.46
190,SKU-100190,Luminate Water Bottle Lite 353,Sports,Water Bottle,Luminate,2024-07-06,686.55,1642.53
191,SKU-100191,Primex Toy Car Series 900,Toys,Toy Car,Primex,2025-08-17,2890.56,4015.86
192,SKU-100192,Orion Fiction Lite 656,Books,Fiction,Orion,2023-08-27,351.46,816.71
193,SKU-100193,Halcyon Camera Lite 187,Electronics,Camera,Halcyon,2022-07-13,203.11,232.08
194,SKU-100194,Verde Action Figure Series 444,Toys,Action Figure,Verde,2024-11-28,3586.35,4401.27
195,SKU-100195,Zephyr Board Game Lite 933,Toys,Board Game,Zephyr,2024-06-05,1840.15,4225.99
196,SKU-100196,Primex Blender Model 852,Home & Kitchen,Blender,Primex,2024-01-12,670.61,1329.67
197,SKU-100197,Halcyon Blender Model 531,Home & Kitchen,Blender,Halcyon,2024-06-12,1305.38,2801.52
198,SKU-100198,Halcyon Jacket Series 312,Clothing,Jacket,Halcyon,2025-02-03,3228.33,4497.66
199,SKU-100199,Orion Makeup Series 166,Beauty,Makeup,Orion,2023-09-18,1413.91,2618.44
200,SKU-100200,Primex Non-Fiction Pro 958,Books,Non-Fiction,Primex,2024-11-03,2497.88,5325.75
201,SKU-100201,Neptune Puzzle Series 355,Toys,Puzzle,Neptune,2025-08-29,652.39,1290.58
202,SKU-100202,Summit Beverage Lite 917,Grocery,Beverage,Summit,2022-12-16,2961.06,5212.59
203,SKU-100203,Neptune Toy Car Pro 867,Toys,Toy Car,Neptune,2022-08-11,1614.58,3945.54
204,SKU-100204,Primex Phone Model 257,Electronics,Phone,Primex,2024-03-30,3153.49,6454.0
205,SKU-100205,Neptune T-Shirt Series 651,Clothing,T-Shirt,Neptune,2024-04-26,4051.55,9605.62
206,SKU-100206,Axton Sunscreen Lite 282,Beauty,Sunscreen,Axton,2023-12-21,3077.65,6529.78
207,SKU-100207,Verde Spices Series 641,Grocery,Spices,Verde,2022-06-04,1513.95,3224.18
208,SKU-100208,Axton T-Shirt Pro 630,Clothing,T-Shirt,Axton,2024-10-05,1315.93,1594.94
209,SKU-100209,Cresta Water Bottle Lite 96,Sports,Water Bottle,Cresta,2024-10-03,1670.73,2678.6
210,SKU-100210,Neptune Perfume Lite 657,Beauty,Perfume,Neptune,2025-07-13,864.87,1990.69
211,SKU-100211,Cresta Doll Series 607,Toys,Doll,Cresta,2023-04-22,946.8,1349.8
212,SKU-100212,Zephyr Blocks Lite 158,Toys,Blocks,Zephyr,2024-12-03,3963.92,5001.31
213,SKU-100213,Luminate Haircare Series 675,Beauty,Haircare,Luminate,2024-01-30,1954.43,3042.17
214,SKU-100214,Zephyr Toy Car Lite 738,Toys,Toy Car,Zephyr,2024-02-19,2208.18,3110.47
215,SKU-100215,Primex Non-Fiction Lite 346,Books,Non-Fiction,Primex,2023-10-06,2990.54,7163.55
216,SKU-100216,Halcyon Makeup Lite 43,Beauty,Makeup,Halcyon,2022-08-14,2968.78,6873.18
217,SKU-100217,Verde Dress Model 84,Clothing,Dress,Verde,2024-06-12,383.52,690.17
218,SKU-100218,Neptune Soap Model 972,Beauty,Soap,Neptune,2022-11-19,4166.13,4940.54
219,SKU-100219,Orion Spices Lite 272,Grocery,Spices,Orion,2022-06-26,927.77,1948.68
220,SKU-100220,Luminate Doll Series 786,Toys,Doll,Luminate,2024-09-09,3629.2,7159.6
221,SKU-100221,Summit Academic Lite 427,Books,Academic,Summit,2024-12-01,3874.72,9527.07
222,SKU-100222,Summit Comics Lite 655,Books,Comics,Summit,2022-10-24,3588.75,6755.95
223,SKU-100223,Summit Racket Model 510,Sports,Racket,Summit,2024-10-25,2915.94,4580.8
224,SKU-100224,Neptune Jeans Lite 297,Clothing,Jeans,Neptune,2023-04-15,122.31,223.42
225,SKU-100225,Summit Bedding Pro 495,Home & Kitchen,Bedding,Summit,2023-03-30,1833.86,4531.41
226,SKU-100226,Axton Knife Set Series 825,Home & Kitchen,Knife Set,Axton,2025-03-31,3043.96,6315.94
227,SKU-100227,Luminate Haircare Plus 305,Beauty,Haircare,Luminate,2023-12-21,1967.88,4015.98
228,SKU-100228,Axton Racket Plus 75,Sports,Racket,Axton,2023-04-02,4324.23,6213.72
229,SKU-100229,Halcyon Smartwatch Model 162,Electronics,Smartwatch,Halcyon,2023-06-27,1578.57,3379.79
230,SKU-100230,Luminate Makeup Plus 426,Beauty,Makeup,Luminate,2025-04-29,1503.0,3232.02
231,SKU-100231,Axton Bike Helmet Plus 476,Sports,Bike Helmet,Axton,2023-12-22,1366.69,2110.45
232,SKU-100232,Luminate Dress Series 349,Clothing,Dress,Luminate,2024-12-30,1697.27,3016.39
233,SKU-100233,Halcyon Sneakers Lite 148,Clothing,Sneakers,Halcyon,2023-05-07,2809.15,4248.68
234,SKU-100234,Cresta T-Shirt Pro 883,Clothing,T-Shirt,Cresta,2024-06-08,3549.73,5190.37
235,SKU-100235,Neptune Jeans Pro 752,Clothing,Jeans,Neptune,2023-02-14,3329.71,3783.4
236,SKU-100236,Neptune Jeans Pro 999,Clothing,Jeans,Neptune,2024-03-30,4048.2,6069.45
237,SKU-100237,Summit Yoga Mat Plus 134,Sports,Yoga Mat,Summit,2022-06-24,4435.27,8318.61
238,SKU-100238,Zephyr Sneakers Pro 528,Sports,Sneakers,Zephyr,2024-09-04,4089.59,4507.72
239,SKU-100239,Summit Fiction Lite 109,Books,Fiction,Summit,2025-08-24,143.78,215.17
240,SKU-100240,Primex Oil Pro 248,Grocery,Oil,Primex,2024-05-11,3692.79,8618.88
241,SKU-100241,Axton Lamp Plus 126,Home & Kitchen,Lamp,Axton,2024-04-24,1081.58,2088.65
242,SKU-100242,Luminate Doll Pro 461,Toys,Doll,Luminate,2023-05-22,707.99,1381.29
243,SKU-100243,Zephyr Dress Series 145,Clothing,Dress,Zephyr,2022-10-04,3210.52,5344.58
244,SKU-100244,Halcyon Laptop Model 52,Electronics,Laptop,Halcyon,2024-01-17,1632.73,3342.3
245,SKU-100245,Primex Puzzle Pro 969,Toys,Puzzle,Primex,2025-02-26,332.73,454.48
246,SKU-100246,Halcyon Yoga Mat Plus 885,Sports,Yoga Mat,Halcyon,2023-08-09,731.27,1642.61
247,SKU-100247,Neptune Smartwatch Lite 429,Electronics,Smartwatch,Neptune,2025-05-31,54.6,68.98
248,SKU-100248,Neptune Smartwatch Series 986,Electronics,Smartwatch,Neptune,2025-06-07,4520.96,9125.11
249,SKU-100249,Summit Phone Series 834,Electronics,Phone,Summit,2022-09-29,171.86,271.13
250,SKU-100250,Axton Non-Fiction Pro 957,Books,Non-Fiction,Axton,2025-04-17,1086.81,2332.86
251,SKU-100251,Zephyr Yoga Mat Lite 739,Sports,Yoga Mat,Zephyr,2024-07-07,2110.5,3945.94
252,SKU-100252,Verde Phone Pro 195,Electronics,Phone,Verde,2025-06-19,1815.03,3145.98
253,SKU-100253,Primex Jacket Series 511,Clothing,Jacket,Primex,2022-06-09,4563.04,6101.66
254,SKU-100254,Primex Skincare Lite 479,Beauty,Skincare,Primex,2025-03-14,249.43,496.75
255,SKU-100255,Summit Camera Plus 901,Electronics,Camera,Summit,2025-03-15,2585.46,6372.33
256,SKU-100256,Neptune Non-Fiction Pro 510,Books,Non-Fiction,Neptune,2023-04-13,3418.37,7711.31
257,SKU-100257,Summit Action Figure Model 93,Toys,Action Figure,Summit,2024-10-14,4661.9,5519.74
