order_id,customer_id,order_date,order_status,order_total,payment_type,shipping_cost,promo_code
60,3922,2025-06-26 18:27:53,Delivered,20435.02,Wallet,80.27,BULK20
61,6410,2024-07-10 07:05:57,Delivered,16621.13,Credit Card,128.77,
62,9612,2024-12-02 11:36:51,Delivered,12409.58,Debit Card,146.24,
63,8578,2025-06-10 13:20:45,Delivered,4422.39,UPI,146.76,DISC10
64,198,2024-04-26 20:45:44,Delivered,11382.3,Debit Card,11.28,WELCOME5
65,876,2024-08-21 22:20:09,Shipped,6342.85,UPI,132.19,BULK20
66,9919,2023-04-26 07:14:24,Shipped,10235.62,NetBanking,18.23,WELCOME5
67,1875,2024-08-24 21:38:49,Delivered,3734.99,NetBanking,16.13,
68,4678,2023-07-25 17:42:00,Shipped,2527.26,Debit Card,0.23,
69,13808,2025-04-18 15:41:42,Delivered,9759.99,Credit Card,78.78,
70,2405,2025-04-06 06:35:01,Shipped,11084.65,Debit Card,58.8,FREESHIP
71,2696,2024-02-20 07:34:02,Delivered,4437.67,Wallet,26.6,
72,12253,2024-05-01 01:27:49,Delivered,3114.38,NetBanking,120.67,
73,11224,2025-01-16 02:32:21,Delivered,8445.17,Debit Card,138.98,
74,14067,2023-02-13 18:02:14,Delivered,8129.6,Wallet,93.01,DISC10
75,4347,2024-08-19 06:10:27,Delivered,2200.81,NetBanking,45.78,
76,1844,2024-06-16 08:06:15,Returned,585.25,Debit Card,31.42,
77,2719,2025-08-08 23:41:32,Delivered,11820.46,Debit Card,60.53,
78,2106,2023-08-08 05:58:41,Delivered,9541.23,Debit Card,80.65,BULK20
79,2930,2024-02-08 00:20:47,Delivered,2240.21,NetBanking,119.03,BULK20
80,8064,2023-10-30 08:50:45,Delivered,6075.68,Debit Card,30.29,
81,11565,2024-08-22 04:30:56,Delivered,7852.04,NetBanking,142.39,FREESHIP
82,9002,2024-08-18 19:28:16,Delivered,17130.65,NetBanking,42.57,FREESHIP
83,461,2024-06-29 14:59:17,Delivered,3991.51,Credit Card,105.14,DISC10
84,14120,2023-09-19 07:59:06,Delivered,15671.54,Debit Card,8.43,
85,4863,2024-11-02 17:22:04,Shipped,4921.13,NetBanking,9.7,DISC10
86,6508,2023-03-22 21:14:49,Shipped,12580.6,Credit Card,81.9,
87,10856,2023-03-25 20:01:59,Delivered,669.62,Debit Card,70.84,BULK20
88,4404,2024-02-21 23:54:52,Delivered,18285.51,Credit Card,52.35,WELCOME5
89,6920,2023-07-22 21:07:18,Delivered,13775.38,Debit Card,99.4,
90,2173,2024-06-04 06:03:12,Shipped,9111.19,UPI,110.03,
91,8946,2023-12-14 23:47:17,Delivered,9032.63,NetBanking,121.53,
92,13001,2025-04-10 00:41:18,Shipped,10266.12,Debit Card,16.67,
93,8907,2023-02-23 02:25:09,Delivered,20209.9,UPI,139.75,
94,3208,2024-10-22 00:45:10,Delivered,6379.93,Credit Card,36.58,
95,3087,2024-04-15 06:30:11,Delivered,15512.53,UPI,65.42,DISC10
96,8414,2024-06-24 22:56:07,Cancelled,9468.42,Debit Card,72.52,
97,10923,2023-07-10 03:51:02,Delivered,4744.08,Wallet,51.78,DISC10
98,12509,2025-02-21 05:07:46,Delivered,14206.74,Credit Card,10.75,WELCOME5
99,1293,2023-06-12 02:14:31,Delivered,24559.31,UPI,136.68,
100,12797,2023-12-28 05:44:02,Delivered,8714.98,Credit Card,38.4,
101,11868,2024-08-11 17:05:17,Delivered,4849.74,Wallet,78.79,BULK20
102,2557,2023-03-16 08:55:52,Delivered,6913.73,UPI,48.97,FREESHIP
103,3706,2023-09-22 23:01:37,Delivered,5254.55,Wallet,131.78,
104,350,2025-02-03 19:03:46,Delivered,26797.0,Debit Card,112.09,
105,13804,2024-06-30 00:33:50,Delivered,4305.3,NetBanking,63.64,
106,10038,2024-06-11 14:34:49,Delivered,339.24,Debit Card,46.54,
107,3075,2025-05-03 03:00:53,Delivered,5053.45,UPI,139.08,DISC10
108,7921,2023-04-01 00:45:00,Delivered,1494.1,Wallet,61.28,
109,12487,2024-08-19 23:52:42,Shipped,27680.88,NetBanking,126.79,WELCOME5
110,9743,2025-02-04 23:28:58,Shipped,6635.78,Debit Card,136.95,WELCOME5
111,449,2023-05-22 04:43:37,Delivered,9225.84,UPI,118.97,
112,10184,2025-07-08 11:54:46,Delivered,10397.78,Credit Card,120.96,FREESHIP
113,14366,2024-07-03 09:18:06,Delivered,5629.12,Debit Card,118.13,FREESHIP
114,2298,2023-08-14 13:04:50,Delivered,7988.95,UPI,73.99,WELCOME5
115,6475,2023-01-10 05:50:58,Delivered,5409.86,Credit Card,75.11,
116,7556,2023-04-01 14:25:16,Delivered,14040.91,UPI,119.66,
117,13925,2024-02-17 03:37:03,Delivered,6322.35,Debit Card,55.89,
118,10361,2024-10-26 20:26:05,Delivered,5900.89,Credit Card,22.58,
119,1766,2023-11-23 01:06:40,Returned,1479.8,NetBanking,75.24,
120,1095,2023-07-21 16:10:47,Delivered,3357.32,NetBanking,26.5,
121,4490,2025-02-24 17:25:17,Delivered,7134.73,Wallet,145.01,FREESHIP
122,7550,2025-04-07 06:46:37,Delivered,12398.14,Credit Card,47.24,
123,1611,2025-06-13 01:28:16,Delivered,6296.42,Wallet,114.45,
124,391,2023-02-24 03:55:38,Delivered,13674.58,Debit Card,65.27,
125,12264,2025-08-24 01:31:56,Delivered,4863.58,Wallet,55.99,DISC10
126,4162,2025-08-10 12:34:23,Delivered,14921.56,Credit Card,72.97,
127,14530,2023-03-22 14:54:18,Delivered,4254.39,UPI,54.87,DISC10
128,12669,2023-09-29 15:45:25,Delivered,14156.97,Credit Card,88.61,DISC10
129,6373,2025-07-12 09:34:59,Delivered,8155.22,Credit Card,9.27,BULK20
130,13765,2024-09-30 02:14:38,Processing,11663.37,UPI,50.17,
131,11610,2025-06-16 10:16:25,Delivered,4740.66,Wallet,31.13,FREESHIP
132,14611,2023-03-12 04:53:02,Delivered,9581.54,UPI,9.25,BULK20
133,3194,2023-12-25 10:45:52,Delivered,6724.41,Credit Card,112.63,
134,9832,2025-05-06 14:06:45,Delivered,7649.21,Credit Card,23.93,FREESHIP
135,11962,2025-04-19 21:37:00,Delivered,6520.57,Credit Card,82.69,
136,14328,2024-06-15 05:49:44,Processing,3196.0,Credit Card,149.5,BULK20
137,4724,2023-07-20 21:23:00,Delivered,5427.79,Debit Card,103.56,FREESHIP
138,14103,2024-06-11 01:27:47,Delivered,2888.99,Credit Card,91.92,WELCOME5
139,8780,2023-11-20 06:34:30,Delivered,9292.91,Debit Card,70.33,BULK20
140,11951,2024-05-17 20:42:10,Delivered,711.33,NetBanking,47.21,
141,5477,2024-01-29 23:44:55,Delivered,8783.25,Wallet,146.4,
142,7416,2023-11-28 00:48:55,Delivered,232.88,NetBanking,22.14,WELCOME5
143,1598,2023-05-20 10:38:08,Delivered,12953.41,NetBanking,78.2,
144,7482,2023-07-23 11:26:21,Delivered,3527.91,Debit Card,88.31,
145,12418,2024-01-14 12:16:06,Delivered,11078.56,UPI,79.57,
146,5157,2024-11-12 06:03:36,Delivered,5215.43,UPI,133.51,
147,1268,2023-05-03 02:41:47,Delivered,8866.24,Debit Card,4.7,BULK20
148,2902,2024-06-11 02:25:35,Delivered,7802.24,Credit Card,117.27,
149,7851,2023-06-09 21:23:59,Delivered,5206.85,UPI,114.63,DISC10
150,6899,2023-12-24 11:37:17,Delivered,9231.35,UPI,33.31,
151,3765,2025-05-09 18:42:35,Delivered,11985.87,UPI,130.62,
152,12726,2023-09-28 17:30:23,Shipped,19979.93,UPI,137.55,DISC10
153,14425,2023-11-11 15:58:33,Shipped,3759.48,NetBanking,122.58,WELCOME5
154,3786,2023-11-22 15:42:22,Delivered,15041.66,UPI,86.48,
155,7536,2024-04-21 01:07:42,Delivered,9275.75,Wallet,27.02,BULK20
156,4198,2023-09-28 18:51:30,Delivered,6950.24,Credit Card,101.93,
157,4555,2025-05-29 15:45:05,Delivered,10946.9,Debit Card,61.01,FREESHIP
158,1677,2024-05-02 17:45:21,Delivered,4192.17,Credit Card,127.19,FREESHIP
159,14398,2024-01-23 14:30:57,Delivered,5655.2,UPI,147.58,
160,11716,2025-01-24 06:51:22,Delivered,2804.87,UPI,78.26,DISC10
161,11703,2024-01-15 06:52:52,Delivered,23206.02,Credit Card,111.41,FREESHIP
162,7607,2025-04-04 23:43:45,Shipped,9954.38,Credit Card,3.95,
163,2105,2023-03-12 17:08:19,Cancelled,6054.71,UPI,95.93,
164,5776,2025-02-01 11:42:30,Delivered,9925.3,Debit Card,27.02,
165,7173,2025-02-16 23:39:02,Delivered,12054.57,NetBanking,134.38,DISC10
166,10220,2024-10-08 11:00:06,Delivered,5764.34,UPI,135.3,
167,6065,2023-03-12 08:50:56,Delivered,3809.95,UPI,78.27,FREESHIP
168,8159,2023-05-03 00:28:54,Delivered,12030.96,NetBanking,19.98,
169,12789,2023-03-09 09:02:51,Delivered,10408.39,Wallet,139.94,
170,13716,2024-09-16 13:35:50,Delivered,13786.73,UPI,125.17,
171,13667,2025-06-16 20:30:55,Delivered,7140.9,Wallet,134.74,DISC10
172,13574,2025-01-30 20:03:03,Delivered,13046.43,NetBanking,27.42,DISC10
173,14845,2024-04-09 21:33:04,Delivered,5762.59,Wallet,38.09,DISC10
174,10913,2024-04-21 05:52:53,Delivered,7008.93,Debit Card,70.63,
175,14842,2024-11-12 11:04:16,Delivered,10968.37,Wallet,146.44,
176,3991,2024-11-15 17:14:21,Delivered,14104.12,Debit Card,135.84,
177,14199,2023-03-31 04:39:08,Delivered,6750.25,Debit Card,11.79,BULK20
178,14920,2023-11-22 05:32:52,Shipped,9407.07,UPI,112.62,WELCOME5
179,988,2023-09-12 21:47:45,Delivered,5700.96,NetBanking,143.55,
180,5152,2025-02-25 07:09:05,Delivered,8082.75,NetBanking,132.3,
181,2653,2025-05-31 01:02:38,Delivered,13460.93,Debit Card,116.64,
182,9463,2024-02-11 02:27:54,Delivered,17709.51,UPI,146.79,
183,6462,2024-07-23 21:34:44,Delivered,6179.82,Debit Card,121.63,FREESHIP
184,4044,2024-08-07 04:29:02,Delivered,672.67,Wallet,21.68,DISC10
185,14733,2025-02-27 04:16:25,Delivered,11468.1,Wallet,21.92,
186,12450,2024-04-20 23:50:27,Delivered,15960.21,Wallet,140.11,
187,10038,2025-02-16 15:59:24,Delivered,5180.83,UPI,48.71,WELCOME5
188,6644,2024-12-07 04:19:21,Delivered,7370.88,Wallet,126.69,FREESHIP
189,6614,2025-02-18 16:33:22,Cancelled,10703.56,UPI,84.08,FREESHIP
190,4267,2023-06-28 16:53:13,Delivered,3544.64,UPI,24.02,
191,9454,2023-12-22 09:10:17,Delivered,4296.06,Debit Card,109.34,
192,13702,2023-12-29 10:28:38,Delivered,15701.47,Credit Card,32.3,FREESHIP
193,6054,2023-07-07 20:52:22,Delivered,5785.18,UPI,113.29,WELCOME5
194,12662,2024-11-05 02:37:56,Processing,11802.31,NetBanking,25.85,
195,209,2024-10-08 11:06:18,Delivered,2644.38,Wallet,58.99,
196,10262,2024-06-19 06:55:57,Processing,7869.49,Credit Card,51.81,
197,11744,2023-09-13 17:16:53,Delivered,4104.33,Debit Card,52.13,WELCOME5
198,14097,2023-11-19 18:35:02,Delivered,2370.22,Debit Card,47.29,
199,5032,2024-04-16 15:49:49,Processing,16021.78,Debit Card,67.16,
200,10780,2023-04-15 18:25:15,Delivered,11421.79,UPI,128.34,WELCOME5
201,12121,2023-05-09 23:25:12,Cancelled,26249.66,UPI,39.45,
202,13007,2023-10-28 12:18:38,Delivered,3546.52,UPI,25.01,
203,7779,2024-08-30 18:58:59,Delivered,7112.72,NetBanking,42.71,
204,11177,2024-05-06 23:11:48,Delivered,3958.09,Wallet,57.04,
205,5465,2024-05-03 06:24:34,Delivered,8993.55,Debit Card,96.09,
206,5757,2025-06-01 00:45:16,Delivered,5887.59,Debit Card,100.23,
207,2790,2023-12-30 02:13:02,Delivered,7769.92,Debit Card,133.48,
208,8004,2025-04-04 14:50:16,Delivered,8375.89,UPI,36.8,BULK20
209,2533,2023-07-02 10:40:46,Delivered,5327.55,Debit Card,116.46,
210,2030,2025-01-26 17:22:44,Delivered,12069.87,Debit Card,36.9,
211,8876,2024-06-15 03:58:13,Shipped,635.89,Debit Card,23.3,
212,5024,2023-08-19 15:10:51,Delivered,19179.79,Wallet,66.63,WELCOME5
213,2346,2024-07-25 23:54:31,Delivered,9965.88,Credit Card,93.15,
214,14093,2023-06-30 11:19:00,Delivered,14922.54,Wallet,79.27,
215,11177,2024-09-22 16:58:44,Delivered,9244.71,Debit Card,80.55,WELCOME5
216,10572,2025-07-11 17:25:11,Delivered,11498.59,NetBanking,117.79,WELCOME5
217,9774,2025-06-21 10:28:00,Delivered,2069.78,NetBanking,138.33,
218,4298,2023-09-20 02:59:49,Shipped,14202.93,Debit Card,137.12,
219,2463,2023-02-05 01:30:25,Delivered,9415.15,NetBanking,129.06,DISC10
220,13163,2023-10-09 11:55:21,Delivered,18499.53,Debit Card,78.12,
221,1627,2024-12-17 03:40:30,Shipped,16824.51,NetBanking,40.39,
222,6297,2025-03-03 06:50:10,Delivered,1901.78,NetBanking,126.4,
223,10980,2024-02-28 16:38:12,Cancelled,769.36,Debit Card,134.93,WELCOME5
224,2583,2024-08-01 05:18:23,Delivered,13583.84,Credit Card,5.79,FREESHIP
225,6834,2023-09-03 15:47:08,Cancelled,13827.2,UPI,71.18,
226,747,2025-02-14 23:45:39,Shipped,5075.69,Credit Card,20.67,
227,3284,2023-10-18 13:30:37,Delivered,4881.91,UPI,58.75,
228,8829,2023-06-29 18:35:29,Delivered,6650.18,Wallet,47.36,
229,215,2024-03-01 14:11:33,Delivered,7257.39,Wallet,51.71,FREESHIP
230,1564,2025-03-24 16:43:51,Delivered,12155.7,Credit Card,81.53,DISC10
231,5000,2024-02-18 16:57:14,Delivered,8506.19,Wallet,52.91,FREESHIP
232,2546,2023-06-02 23:59:19,Delivered,8010.45,Credit Card,65.01,WELCOME5
233,12204,2023-09-18 16:33:36,Delivered,2361.07,Credit Card,81.49,DISC10
234,2030,2024-11-29 22:52:52,Delivered,17554.94,UPI,82.9,
235,12280,2024-08-04 13:45:49,Delivered,4782.94,NetBanking,141.48,
236,14792,2023-01-04 00:59:23,Delivered,1779.02,UPI,78.81,FREESHIP
237,14146,2025-03-04 05:19:31,Delivered,10490.32,Wallet,12.45,BULK20
238,7174,2025-08-31 06:09:25,Delivered,11016.97,NetBanking,39.27,
239,12062,2023-09-28 04:39:52,Delivered,788.31,Wallet,59.33,
240,6624,2023-11-21 16:52:57,Delivered,2315.34,UPI,142.99,BULK20
241,9341,2025-05-17 02:12:23,Delivered,21171.24,Debit Card,83.9,WELCOME5
242,4067,2025-03-25 10:40:19,Delivered,11548.58,Credit Card,25.51,
243,11522,2024-03-12 16:38:34,Delivered,7384.66,Credit Card,122.58,
244,5171,2024-01-08 07:35:05,Returned,452.02,Debit Card,145.62,BULK20
245,5162,2024-11-06 21:30:15,Delivered,2109.61,UPI,75.57,BULK20
246,11830,2025-03-30 14:38:37,Delivered,13926.03,Debit Card,50.39,
247,6991,2023-06-22 02:44:51,Delivered,10339.34,Debit Card,119.25,FREESHIP
248,14230,2023-10-25 15:21:46,Processing,8333.08,Debit Card,37.13,FREESHIP
249,13605,2023-01-22 20:25:51,Delivered,413.27,Debit Card,94.77,
250,8979,2024-11-01 12:49:54,Delivered,10992.36,NetBanking,12.77,
251,9124,2025-07-06 11:01:32,Delivered,6995.22,Wallet,35.78,DISC10
252,5819,2023-09-01 22:45:54,Cancelled,3019.01,Credit Card,13.63,
253,1457,2025-02-04 23:57:26,Delivered,12732.12,Debit Card,110.19,
254,14313,2024-07-11 19:23:08,Delivered,25019.51,UPI,145.09,WELCOME5
255,12492,2025-01-22 21:58:44,Delivered,5489.7,Credit Card,102.84,
256,13995,2025-07-21 01:07:06,Shipped,21074.61,Credit Card,26.57,FREESHIP
257,12591,2023-08-04 18:24:55,Delivered,27827.27,Debit Card,82.1,FREESHIP
258,7066,2025-05-18 16:53:52,Delivered,9155.58,Wallet,9.37,FREESHIP
259,7984,2025-08-30 11:36:26,Delivered,15356.89,Credit Card,46.59,
260,6099,2025-05-09 13:15:17,Delivered,6392.93,Debit Card,42.61,WELCOME5
261,2003,2023-10-01 18:50:05,Delivered,11203.94,Wallet,49.71,FREESHIP
262,2910,2024-02-04 07:54:35,Delivered,13079.0,NetBanking,91.73,
263,7982,2024-12-06 06:29:16,Delivered,11705.49,Wallet,60.3,
264,6751,2023-11-26 07:40:42,Delivered,3439.95,NetBanking,105.69,
265,1633,2023-11-11 13:51:17,Processing,9056.89,Credit Card,76.56,FREESHIP
266,8075,2025-07-23 11:48:35,Delivered,8799.74,UPI,22.97,WELCOME5
267,10609,2025-08-15 01:53:08,Delivered,24750.24,Wallet,113.68,
268,12385,2025-03-22 06:15:32,Shipped,13533.66,UPI,97.49,
269,9089,2023-08-10 06:20:24,Delivered,6636.98,Debit Card,90.09,FREESHIP
270,8145,2024-09-03 02:33:11,Cancelled,7902.15,Credit Card,104.87,
271,5450,2024-10-06 22:31:41,Delivered,16891.4,Debit Card,34.48,
272,10787,2023-01-01 06:24:46,Returned,14874.59,Credit Card,4.86,
273,11980,2024-03-21 19:18:13,Delivered,25208.06,NetBanking,35.87,
274,14195,2025-04-26 09:10:34,Delivered,3339.14,NetBanking,130.03,
275,12353,2023-06-09 16:23:03,Delivered,8542.78,Wallet,2.9,
276,13210,2024-04-21 17:17:48,Delivered,16639.57,Debit Card,136.48,DISC10
277,703,2025-06-23 00:39:15,Delivered,3561.05,UPI,10.62,
278,12248,2024-11-17 16:55:48,Delivered,3363.39,UPI,91.79,
279,13206,2025-05-06 22:01:39,Delivered,5348.77,Wallet,27.07,WELCOME5
280,11719,2024-10-10 05:33:38,Delivered,2889.57,Wallet,74.05,
281,9332,2025-03-25 18:29:05,Delivered,14033.12,NetBanking,92.16,
282,8513,2024-07-31 12:35:30,Cancelled,1871.26,Wallet,50.65,DISC10
283,11171,2024-03-16 15:15:05,Delivered,14728.89,Credit Card,14.25,DISC10
284,2230,2023-04-30 00:30:11,Delivered,5520.62,NetBanking,89.65,
285,11425,2025-08-27 07:16:15,Delivered,3591.14,Debit Card,7.99,FREESHIP
286,2066,2025-07-10 10:11:31,Delivered,9986.33,UPI,11.16,
287,8724,2023-12-19 04:30:58,Delivered,6945.56,Debit Card,94.3,FREESHIP
288,2329,2023-06-09 15:26:19,Delivered,9854.31,Debit Card,119.68,FREESHIP
289,7235,2024-12-03 03:42:02,Delivered,11460.59,Wallet,98.76,DISC10
290,11290,2023-01-30 16:42:58,Shipped,19853.05,NetBanking,76.8,DISC10
291,1317,2023-01-15 23:43:37,Delivered,14342.38,Credit Card,58.6,
292,2386,2023-08-01 09:11:17,Delivered,3566.28,Wallet,22.99,FREESHIP
293,3139,2024-08-09 20:55:53,Delivered,918.81,Wallet,42.65,
294,9722,2024-05-09 01:51:20,Delivered,7614.46,NetBanking,130.13,FREESHIP
295,4733,2025-03-29 15:51:58,Delivered,13881.01,Debit Card,80.97,
296,12750,2023-10-14 07:03:28,Delivered,18170.45,Wallet,146.14,
297,8764,2023-11-11 10:38:01,Delivered,9211.02,NetBanking,116.18,
298,13784,2024-09-14 11:20:35,Delivered,20739.26,Debit Card,65.06,WELCOME5
299,6340,2025-01-12 14:29:50,Cancelled,4134.33,Credit Card,88.25,WELCOME5
300,8488,2025-08-22 12:20:29,Delivered,7592.23,Wallet,88.84,WELCOME5
301,7404,2024-06-28 12:48:41,Delivered,7558.5,UPI,66.36,
302,4830,2024-05-04 16:03:19,Delivered,4750.7,UPI,60.77,
303,13151,2023-09-07 19:32:41,Delivered,11278.89,Debit Card,29.37,WELCOME5
304,4723,2024-05-22 14:40:58,Delivered,32699.28,UPI,13.45,
305,6682,2023-09-21 11:47:32,Delivered,1395.76,NetBanking,74.63,BULK20
306,14822,2024-07-08 12:48:26,Delivered,1607.33,Wallet,51.54,DISC10
307,2739,2024-12-04 15:30:42,Delivered,5815.17,Wallet,110.27,WELCOME5
308,5017,2023-05-28 15:54:46,Delivered,5414.07,Wallet,73.2,BULK20
309,8505,2023-07-20 07:45:15,Delivered,1201.05,NetBanking,28.59,FREESHIP
310,1805,2025-03-25 22:28:36,Delivered,3898.33,Wallet,102.04,
311,8008,2023-08-31 02:53:40,Delivered,9576.69,Wallet,143.77,
312,14340,2023-06-29 03:42:10,Delivered,5124.45,Wallet,143.19,FREESHIP
313,3616,2024-05-01 09:53:44,Delivered,6980.62,UPI,18.28,
314,4477,2024-10-14 15:16:47,Delivered,17721.14,Credit Card,20.48,
315,3564,2024-06-12 21:20:08,Delivered,5761.43,Credit Card,128.0,FREESHIP
316,3368,2025-01-18 12:15:35,Delivered,8415.15,Credit Card,108.67,
317,738,2024-11-19 18:11:12,Delivered,15763.21,Debit Card,144.94,FREESHIP
318,10744,2023-09-29 23:57:54,Delivered,4290.91,UPI,10.96,
319,9471,2024-07-18 04:41:04,Delivered,9304.48,UPI,121.3,WELCOME5
320,6711,2024-12-30 19:41:12,Delivered,6594.81,NetBanking,129.18,
321,10174,2023-12-13 06:31:37,Delivered,13700.58,Credit Card,95.24,
322,10429,2023-07-19 04:21:55,Shipped,14465.51,Credit Card,51.4,
323,3696,2024-10-26 00:58:57,Delivered,1894.44,NetBanking,131.07,FREESHIP
324,14728,2023-08-28 18:22:44,Delivered,9113.63,Debit Card,143.52,DISC10
325,8101,2025-06-08 07:20:16,Delivered,9215.02,Debit Card,62.26,WELCOME5
326,12756,2025-05-23 02:41:48,Delivered,11890.86,UPI,105.97,WELCOME5
327,14500,2023-02-02 09:29:10,Delivered,2174.81,NetBanking,135.98,WELCOME5
328,14445,2024-10-10 03:41:08,Delivered,21946.18,Credit Card,68.67,WELCOME5
329,6362,2023-07-18 07:47:13,Delivered,16006.32,UPI,45.84,DISC10
330,13186,2024-01-13 04:08:25,Delivered,12336.48,NetBanking,50.36,
331,7257,2025-02-05 14:34:44,Delivered,7377.41,NetBanking,40.32,
332,12462,2023-11-16 05:31:29,Delivered,7017.69,UPI,137.99,
333,13166,2023-10-14 18:21:33,Delivered,4229.45,Wallet,73.73,
334,5913,2024-05-23 01:59:39,Shipped,3048.72,UPI,95.19,
335,9962,2023-05-11 13:11:21,Delivered,5366.9,Credit Card,105.27,
336,6577,2024-11-07 20:51:21,Delivered,6426.02,Debit Card,52.19,WELCOME5
337,12972,2025-03-29 13:28:03,Returned,4722.43,UPI,14.91,
338,779,2024-08-05 18:06:06,Delivered,2089.33,UPI,148.81,FREESHIP
339,13758,2023-11-14 20:37:49,Delivered,14431.76,Credit Card,120.66,
340,9493,2023-01-25 21:10:44,Delivered,21296.33,Debit Card,140.09,FREESHIP
341,2792,2023-02-27 08:08:30,Delivered,13132.25,UPI,1.32,
